statement,category,effective_date,source
대한민국 국군 드론작전사령부가 2023년 9월 1일 국방부 직할부대로 정식 창설되었다.,조직,2023-09-01,국방부
대한민국 국군 드론작전사령부는 육군·해군·공군·해병대로 구성된 국군 최초의 합동전투부대로 창설되었다.,조직,2023-09-01,위키백과(드론작전사령부)
대한민국 국방부는 2023년 6월 27일 드론작전사령부령을 제정하여 드론작전사령부 창설의 법적 근거를 마련했다.,조직,2023-06-27,국방부
대한민국 국군 전략사령부가 2024년 10월 1일 합동참모본부 예하 부대로 창설되었다.,조직,2024-10-01,국방부(대한민국 정책브리핑)
대한민국 국군 전략사령부는 킬체인·한국형미사일방어·대량응징보복으로 구성된 한국형 3축체계를 통합 운용하기 위해 창설되었다.,조직,2024-10-01,국방부(대한민국 정책브리핑)
대한민국 국군 전략사령부의 초대 사령관은 진영승 공군 중장이다.,조직,2024-10-01,경향신문
대한민국 국방부는 2026년 6월 10일 국군방첩사령부 해체 및 기능 개편안을 발표했다.,조직,2026-06-10,국방부(대한민국 정책브리핑)
국군방첩사령부는 1977년 국군보안사령부로 출범한 이래 49년 만인 2026년 해체가 발표되었다.,조직,2026-06-10,한국일보
대한민국 국방부는 2026년 6월 10일 국군방첩사령부의 방첩·방산 정보활동 기능을 수행할 국방방첩본부 창설 계획을 발표했다.,조직,2026-06-10,국방부(대한민국 정책브리핑)
대한민국 국방부는 2026년 6월 26일 드론작전사령부를 국방드론본부로 개편하는 국방 드론·대드론 발전 정책을 발표했다.,조직,2026-06-26,국방부(파이낸셜뉴스 등 보도)
대한민국 육군 지상작전사령부가 2019년 1월 1일 기존 제1야전군사령부와 제3야전군사령부를 통합해 창설되었다.,조직,2019-01-01,한국경제
"대한민국 육군 지상작전사령부 창설로 육군은 기존 1군·2군·3군의 3군 체제에서 지상작전사령부와 제2작전사령부의 2개 작전사령부 체제로 개편되었다.",조직,2019-01-01,아시아투데이
대한민국 육군 지상작전사령부의 본부는 경기도 용인시에 위치한다.,조직,2019-01-01,위키백과(지상작전사령부)
대한민국 국군사이버사령부가 2019년 2월 26일 사이버작전사령부로 명칭이 변경되고 합동참모의장 통제를 받는 합동부대가 되었다.,조직,2019-02-26,위키백과(사이버작전사령부)
대한민국 국군사이버사령부는 2010년 1월 11일 창설되었다.,조직,2010-01-11,위키백과(사이버작전사령부)
대한민국 군사안보지원사령부가 2022년 11월 1일 국군방첩사령부로 명칭이 변경되었다.,조직,2022-11-01,머니투데이
대한민국 군사안보지원사령부의 국군방첩사령부 명칭 변경은 관련 시행령 개정안이 2022년 11월 1일 공포·시행되면서 이루어졌다.,조직,2022-11-01,서울신문
대한민국 국군기무사령부가 2018년 9월 1일 폐지되고 군사안보지원사령부가 창설되었다.,조직,2018-09-01,위키백과(국군기무사령부)
대한민국 국군기무사령부 폐지와 군사안보지원사령부 창설은 2018년 9월 1일 국무회의에서 국군기무사령부령 폐지와 군사안보지원사령부령 제정이 의결되며 이루어졌다.,조직,2018-09-01,위키백과(군사안보지원사령부)
대한민국 육군유도탄사령부가 2014년 4월 1일 육군미사일사령부로 확대 개편되었다.,조직,2014-04-01,파이낸셜뉴스 2022년 2월 10일 보도
대한민국 육군미사일사령부가 2022년 4월 1일 육군미사일전략사령부로 확대 개편되었다.,조직,2022-04-01,파이낸셜뉴스
대한민국 육군미사일전략사령부로의 개편에 따라 사령관 계급이 소장에서 중장으로 격상되었다.,조직,2022-04-01,서울경제
대한민국 공군 방공유도탄사령부가 2022년 4월 1일 공군 미사일방어사령부로 확대 개편되었다.,조직,2022-04-01,경향신문
한미연합군사령부가 2022년 11월 15일 서울 용산기지에서 경기도 평택 캠프 험프리스로의 이전 기념식을 열고 평택 이전을 공식화했다.,조직,2022-11-15,국방일보
한미연합군사령부는 1978년 11월 7일 서울 용산기지에서 창설되었다.,조직,1978-11-07,국방일보
"대한민국 육군 제28보병사단(무적태풍부대)이 2025년 12월 1일 공식 해체되었으며, 병력과 장비는 제5보병사단과 제25보병사단으로 흡수되었다.",조직,2025-12-01,이데일리
대한민국 육군 제28보병사단은 2025년 11월 28일 해체 신고식을 가졌다.,조직,2025-11-28,정경시사FOCUS
